id,phone,rssi_raw,rssi_median,rssi_kalman,distance
716634673,1,-44.0,-44.0,-22.0,0.5
716634673,1,-44.0,-44.0,-31.2,0.5
716634673,1,-44.0,-44.0,-35.5,0.5
716634673,1,-43.0,-44.0,-37.9,0.5
716634673,1,-43.0,-44.0,-39.3,0.5
327649634,0,-37.0,-37.0,-18.5,0.5
327649634,0,-37.0,-37.0,-26.0,0.5
327649634,0,-36.0,-37.0,-29.6,0.5
327649634,0,-37.0,-37.0,-31.6,0.5
327649634,0,-37.0,-37.0,-32.8,0.5
327649634,0,-37.0,-37.0,-33.6,0.5
716634673,1,-44.0,-44.0,-40.2,0.5
327649634,0,-38.0,-37.0,-34.1,0.5
327649634,0,-38.0,-37.0,-34.5,0.5
327649634,0,-38.0,-37.0,-34.9,0.5
327649634,0,-40.0,-37.0,-35.1,0.5
327649634,0,-40.0,-37.0,-35.3,0.5
327649634,0,-40.0,-37.0,-35.5,0.5
327649634,0,-40.0,-37.5,-35.7,0.5
716634673,1,-44.0,-44.0,-40.9,0.5
327649634,0,-40.0,-38.0,-35.9,0.5
327649634,0,-40.0,-38.0,-36.0,0.5
327649634,0,-41.0,-38.0,-36.2,0.5
327649634,0,-42.0,-38.0,-36.3,0.5
327649634,0,-42.0,-38.0,-36.4,0.5
327649634,0,-42.0,-38.0,-36.5,0.5
716634673,1,-45.0,-44.0,-41.3,0.5
327649634,0,-42.0,-38.0,-36.6,0.5
327649634,0,-41.0,-38.0,-36.7,0.5
327649634,0,-43.0,-38.0,-36.8,0.5
327649634,0,-42.0,-38.0,-36.8,0.5
327649634,0,-42.0,-38.0,-36.9,0.5
716634673,1,-53.0,-44.0,-41.7,0.5
327649634,0,-42.0,-39.0,-37.0,0.5
327649634,0,-43.0,-40.0,-37.2,0.5
327649634,0,-43.0,-40.0,-37.3,0.5
327649634,0,-44.0,-40.0,-37.4,0.5
327649634,0,-45.0,-40.0,-37.5,0.5
327649634,0,-45.0,-40.0,-37.6,0.5
327649634,0,-44.0,-40.0,-37.7,0.5
327649634,0,-44.0,-40.0,-37.8,0.5
327649634,0,-44.0,-40.0,-37.9,0.5
327649634,0,-44.0,-40.0,-38.0,0.5
327649634,0,-45.0,-40.0,-38.1,0.5
327649634,0,-44.0,-40.0,-38.2,0.5
716634673,1,-50.0,-44.0,-42.0,0.5
327649634,0,-44.0,-40.5,-38.3,0.5
327649634,0,-45.0,-41.0,-38.4,0.5
327649634,0,-46.0,-41.0,-38.5,0.5
327649634,0,-44.0,-41.0,-38.6,0.5
327649634,0,-44.0,-41.5,-38.7,0.5
327649634,0,-44.0,-41.5,-38.8,0.5
327649634,0,-47.0,-42.0,-38.9,0.5
327649634,0,-46.0,-42.0,-39.0,0.5
716634673,1,-47.0,-44.0,-42.2,0.5
327649634,0,-45.0,-42.0,-39.1,0.5
327649634,0,-42.0,-42.0,-39.2,0.5
327649634,0,-41.0,-42.0,-39.3,0.5
327649634,0,-41.0,-42.0,-39.4,0.5
327649634,0,-42.0,-42.0,-39.5,0.5
327649634,0,-42.0,-42.0,-39.6,0.5
327649634,0,-42.0,-42.0,-39.7,0.5
327649634,0,-42.0,-42.0,-39.7,0.5
