id,phone,timestamp,rssi_raw,rssi_median,rssi_kalman,distance
251879309,0,1660508066,-38.0,-36.0,-18.0,0.5
251879309,0,1660508066,-38.0,-36.0,-25.3,0.5
251879309,0,1660508066,-38.0,-36.0,-28.7,0.5
251879309,0,1660508066,-38.0,-36.0,-30.7,0.5
251879309,0,1660508066,-38.0,-36.0,-31.8,0.5
251879309,0,1660508067,-38.0,-36.0,-32.6,0.5
251879309,0,1660508067,-38.0,-36.5,-33.3,0.5
224577689,0,1660508137,-37.0,-38.0,-19.0,0.5
224577689,0,1660508137,-37.0,-38.0,-26.8,0.5
224577689,0,1660508137,-38.0,-38.0,-30.4,0.5
224577689,0,1660508137,-37.0,-38.0,-32.5,0.5
251879309,0,1660508137,-37.0,-36.0,-33.7,0.5
251879309,0,1660508137,-37.0,-36.0,-34.0,0.5
224577689,0,1660508137,-38.0,-38.0,-33.7,0.5
251879309,0,1660508137,-37.0,-36.0,-34.2,0.5
224577689,0,1660508137,-38.0,-38.0,-34.5,0.5
251879309,0,1660508138,-36.0,-36.0,-34.4,0.5
224577689,0,1660508138,-37.0,-38.0,-35.1,0.5
251879309,0,1660508138,-38.0,-36.0,-34.6,0.5
224577689,0,1660508138,-40.0,-38.0,-35.5,0.5
390275417,1,1660508138,-76.0,-82.0,-41.0,0.5
251879309,0,1660508138,-37.0,-36.0,-34.7,0.5
390275417,1,1660508138,-76.0,-82.0,-60.5,0.5
224577689,0,1660508138,-40.0,-38.0,-35.8,0.5
251879309,0,1660508138,-37.0,-36.5,-34.8,0.5
224577689,0,1660508138,-40.0,-38.0,-36.1,0.5
251879309,0,1660508139,-38.0,-37.0,-35.0,0.5
390275417,1,1660508139,-76.0,-82.0,-69.2,1.5
224577689,0,1660508139,-40.0,-38.0,-36.3,0.5
224577689,0,1660508139,-40.0,-38.0,-36.5,0.5
251879309,0,1660508139,-38.0,-37.0,-35.2,0.5
251879309,0,1660508207,-36.0,-36.0,-35.2,0.5
251879309,0,1660508208,-36.0,-36.0,-35.3,0.5
251879309,0,1660508208,-36.0,-36.0,-35.3,0.5
390275417,1,1660508208,-76.0,-82.0,-73.4,1.5
224577689,0,1660508208,-40.0,-38.0,-36.6,0.5
390275417,1,1660508208,-76.0,-82.0,-75.7,3.5
251879309,0,1660508208,-38.0,-36.0,-35.4,0.5
224577689,0,1660508208,-40.0,-38.0,-36.7,0.5
251879309,0,1660508209,-38.0,-36.0,-35.4,0.5
224577689,0,1660508209,-40.0,-38.0,-36.8,0.5
390275417,1,1660508209,-76.0,-81.5,-77.0,3.5
251879309,0,1660508209,-38.0,-36.0,-35.4,0.5
224577689,0,1660508209,-40.0,-38.0,-36.9,0.5
390275417,1,1660508209,-76.0,-81.0,-77.8,3.5
390275417,1,1660508209,-75.0,-81.0,-78.3,3.5
251879309,0,1660508209,-38.0,-36.0,-35.5,0.5
224577689,0,1660508209,-40.0,-38.0,-37.0,0.5
224577689,0,1660508285,-62.0,-62.5,-38.7,0.5
251879309,0,1660508285,-36.0,-36.0,-35.5,0.5
224577689,0,1660508285,-63.0,-63.0,-40.5,0.5
251879309,0,1660508285,-36.0,-36.0,-35.5,0.5
224577689,0,1660508285,-62.0,-62.5,-42.4,0.5
251879309,0,1660508285,-36.0,-36.0,-35.5,0.5
251879309,0,1660508285,-36.0,-36.0,-35.5,0.5
224577689,0,1660508285,-62.0,-62.0,-44.3,0.5
224577689,0,1660508285,-63.0,-62.5,-46.2,0.5
251879309,0,1660508285,-36.0,-36.0,-35.6,0.5
224577689,0,1660508285,-63.0,-63.0,-48.0,0.5
251879309,0,1660508285,-36.0,-36.0,-35.6,0.5
224577689,0,1660508285,-64.0,-63.0,-49.7,0.5
251879309,0,1660508285,-36.0,-36.0,-35.6,0.5
224577689,0,1660508285,-63.0,-63.0,-51.2,0.5
251879309,0,1660508285,-36.0,-36.0,-35.6,0.5
224577689,0,1660508285,-63.0,-63.0,-52.6,0.5
251879309,0,1660508285,-36.0,-36.0,-35.6,0.5
224577689,0,1660508285,-63.0,-63.0,-53.8,0.5
251879309,0,1660508285,-36.0,-36.0,-35.6,0.5
224577689,0,1660508285,-61.0,-63.0,-54.8,0.5
224577689,0,1660508285,-63.0,-63.0,-55.7,1.5
224577689,0,1660508285,-63.0,-63.0,-56.4,1.5
251879309,0,1660508285,-36.0,-36.0,-35.7,0.5
224577689,0,1660508285,-65.0,-63.0,-57.1,1.5
251879309,0,1660508285,-37.0,-36.0,-35.7,0.5
251879309,0,1660508286,-36.0,-36.0,-35.7,0.5
224577689,0,1660508286,-64.0,-63.0,-57.7,1.5
224577689,0,1660508286,-64.0,-63.0,-58.2,1.5
224577689,0,1660508286,-64.0,-63.0,-58.6,1.5
251879309,0,1660508286,-37.0,-36.0,-35.7,0.5
224577689,0,1660508286,-64.0,-63.0,-59.0,1.5
251879309,0,1660508286,-37.0,-36.0,-35.7,0.5
224577689,0,1660508286,-64.0,-63.0,-59.3,1.5
224577689,0,1660508286,-64.0,-63.0,-59.6,1.5
224577689,0,1660508286,-63.0,-63.0,-59.9,1.5
224577689,0,1660508286,-63.0,-63.0,-60.1,1.5
251879309,0,1660508286,-36.0,-36.0,-35.7,0.5
251879309,0,1660508286,-37.0,-36.0,-35.7,0.5
224577689,0,1660508286,-56.0,-63.0,-60.3,1.5
251879309,0,1660508286,-37.0,-36.0,-35.7,0.5
224577689,0,1660508286,-56.0,-63.0,-60.5,1.5
224577689,0,1660508286,-56.0,-63.0,-60.6,1.5
251879309,0,1660508286,-37.0,-36.0,-35.7,0.5
251879309,0,1660508286,-38.0,-36.0,-35.7,0.5
251879309,0,1660508286,-37.0,-36.0,-35.7,0.5
224577689,0,1660508286,-56.0,-63.0,-60.8,1.5
251879309,0,1660508286,-37.0,-36.0,-35.8,0.5
224577689,0,1660508286,-56.0,-63.0,-60.9,1.5
251879309,0,1660508286,-37.0,-36.0,-35.8,0.5
224577689,0,1660508286,-58.0,-63.0,-61.0,1.5
251879309,0,1660508286,-36.0,-36.0,-35.8,0.5
251879309,0,1660508286,-36.0,-36.0,-35.8,0.5
224577689,0,1660508286,-58.0,-63.0,-61.1,1.5
251879309,0,1660508286,-36.0,-36.0,-35.8,0.5
224577689,0,1660508286,-58.0,-63.0,-61.2,1.5
224577689,0,1660508286,-58.0,-63.0,-61.3,1.5
251879309,0,1660508286,-36.0,-36.0,-35.8,0.5
224577689,0,1660508286,-58.0,-63.0,-61.4,1.5
251879309,0,1660508286,-36.0,-36.0,-35.8,0.5
251879309,0,1660508286,-36.0,-36.0,-35.8,0.5
251879309,0,1660508286,-36.0,-36.0,-35.8,0.5
