id,phone,timestamp,rssi_raw,rssi_median,rssi_kalman,distance
251879309,0,1660508050,-41.0,-54.5,-27.25,0.5
251879309,0,1660508051,-89.0,-68.0,-45.0098730606488,0.5
251879309,0,1660508054,-39.0,-54.5,-48.61801987468502,0.5
251879309,0,1660508055,-37.0,-41.0,-46.37888811889481,0.5
251879309,0,1660508060,-39.0,-41.0,-45.086316657679006,0.5
251879309,0,1660508064,-39.0,-41.0,-44.26062709193703,0.5
251879309,0,1660508068,-39.0,-40.5,-43.60713723127036,0.5
251879309,0,1660508070,-39.0,-40.0,-43.056102377253936,0.5
390275417,1,1660508072,-68.0,-67.0,-33.5,0.5
251879309,0,1660508074,-39.0,-39.5,-42.57017708515723,0.5
390275417,1,1660508075,-68.0,-67.0,-48.74386920980926,0.5
251879309,0,1660508077,-38.0,-39.0,-42.127606047923464,0.5
251879309,0,1660508081,-38.0,-39.0,-41.771744441232556,0.5
251879309,0,1660508083,-40.0,-39.0,-41.48066463171638,0.5
390275417,1,1660508083,-69.0,-67.5,-55.83196314910712,0.5
251879309,0,1660508085,-80.0,-39.5,-41.28772023089825,0.5
390275417,1,1660508087,-66.0,-67.0,-59.29146792973731,0.5
219873460,1,1660508087,-40.0,-69.5,-34.75,0.5
251879309,0,1660508087,-40.0,-40.0,-41.171353934513256,0.5
251879309,0,1660508089,-39.0,-39.5,-41.031203217905876,0.5
219873460,1,1660508091,-69.0,-69.0,-50.461434370771315,0.5
390275417,1,1660508091,-66.0,-67.0,-61.26603561154802,0.5
251879309,0,1660508093,-39.0,-39.0,-40.871634910328524,0.5
251879309,0,1660508095,-40.0,-39.5,-40.769851020645945,0.5
390275417,1,1660508096,-68.0,-67.5,-62.61406201426513,0.5
251879309,0,1660508098,-38.0,-39.0,-40.646029912257504,0.5
251879309,0,1660508102,-90.0,-39.0,-40.536623074436456,0.5
251879309,0,1660508104,-38.0,-39.0,-40.4393770748635,0.5
251879309,0,1660508106,-40.0,-39.0,-40.352470071886295,0.5
390275417,1,1660508109,-41.0,-67.0,-63.433382795093834,0.5
251879309,0,1660508109,-41.0,-39.0,-40.27441559069356,0.5
251879309,0,1660508110,-43.0,-39.0,-40.20399047542001,0.5
390275417,1,1660508111,-66.0,-66.5,-63.933792044540745,0.5
251879309,0,1660508115,-40.0,-39.0,-40.1401803235258,0.5
390275417,1,1660508116,-68.0,-66.5,-64.30324955956806,0.5
251879309,0,1660508117,-39.0,-39.0,-40.08213771809592,0.5
251879309,0,1660508121,-39.0,-39.0,-40.02914993713139,0.5
390275417,1,1660508123,-65.0,-67.0,-64.65022813284493,0.5
251879309,0,1660508128,-40.0,-39.0,-39.980613756620066,0.5
390275417,1,1660508128,-66.0,-66.5,-64.86612108660796,0.5
251879309,0,1660508133,-85.0,-40.0,-39.981495439520955,0.5
251879309,0,1660508135,-40.0,-40.0,-39.982300562828414,0.5
390275417,1,1660508137,-68.0,-66.0,-64.986587657456,0.5
251879309,0,1660508139,-37.0,-40.0,-39.983038677265085,0.5
390275417,1,1660508143,-64.0,-66.0,-65.08491166124328,1.5
251879309,0,1660508143,-38.0,-40.0,-39.983717808886325,0.5
390275417,1,1660508147,-64.0,-66.0,-65.166590722635,1.5
251879309,0,1660508147,-84.0,-40.0,-39.984344751591344,0.5
390275417,1,1660508149,-41.0,-66.0,-65.23545687359912,1.5
251879309,0,1660508149,-41.0,-40.0,-39.98492529478867,0.5
251879309,0,1660508151,-38.0,-40.0,-39.985464402388054,0.5
390275417,1,1660508155,-66.0,-66.0,-65.29425953095429,1.5
251879309,0,1660508161,-38.0,-40.0,-39.985966354840535,0.5
251879309,0,1660508162,-40.0,-40.0,-39.98643486282963,0.5
251879309,0,1660508166,-39.0,-40.0,-39.98687315900165,0.5
251879309,0,1660508168,-39.0,-40.0,-39.987284072529135,0.5
251879309,0,1660508170,-39.0,-39.0,-39.9573130741971,0.5
251879309,0,1660508172,-38.0,-39.0,-39.92883794391855,0.5
251879309,0,1660508174,-96.0,-39.0,-39.90175849903358,0.5
251879309,0,1660508177,-39.0,-39.0,-39.87598278797648,0.5
251879309,0,1660508179,-38.0,-39.0,-39.851426302648356,0.5
251879309,0,1660508181,-39.0,-39.0,-39.82801127553766,0.5
251879309,0,1660508185,-38.0,-39.0,-39.80566605160613,0.5
251879309,0,1660508187,-38.0,-39.0,-39.784324526215265,0.5
251879309,0,1660508189,-38.0,-39.0,-39.76392564146076,0.5
251879309,0,1660508191,-38.0,-39.0,-39.74441293423079,0.5
